ctry_text,id_j,civ,ses,priv,urba
Belgium (Flemish),231087,533.56875,-0.025000000000000005,1,0
Belgium (Flemish),231088,399.75666666666666,-1.0955555555555556,NA,NA
Belgium (Flemish),231089,531.5976923076923,-0.10307692307692308,1,0
Belgium (Flemish),231090,544.3615789473685,0.6066666666666667,1,0
Belgium (Flemish),231091,398.73333333333335,-1.0558333333333334,1,0
Belgium (Flemish),231092,638.41,0.9733333333333333,1,0
Belgium (Flemish),231093,566.1040909090909,0.22818181818181818,1,0
Belgium (Flemish),231094,582.5326666666666,0.724,1,0
Belgium (Flemish),231095,623.7868181818181,0.645,1,0
Belgium (Flemish),231096,492.641875,-0.366875,0,0
Belgium (Flemish),231097,561.401,0.573,1,1
Belgium (Flemish),231098,534.6376190476191,0.570952380952381,0,0
Belgium (Flemish),231099,636.3835294117647,0.6605882352941177,1,0
Belgium (Flemish),231100,451.46666666666664,-0.7942857142857143,0,0
Belgium (Flemish),231101,520.04,0.04849999999999998,1,0
Belgium (Flemish),231102,507.847,-0.6255,0,0
Belgium (Flemish),231103,606.0965625,0.995625,1,0
Belgium (Flemish),231104,493.45625,-0.31125,1,0
Belgium (Flemish),231105,480.12166666666667,0.015833333333333338,1,0
Belgium (Flemish),231106,508.19153846153847,-0.5484615384615384,0,0
Belgium (Flemish),231107,500.96923076923076,-0.15769230769230771,1,0
Belgium (Flemish),231108,572.7842857142857,0.28809523809523807,0,0
Belgium (Flemish),231109,464.7633333333333,-0.7241666666666666,1,0
Belgium (Flemish),231110,459.8190909090909,-0.83,1,0
Belgium (Flemish),231111,469.5868181818182,-0.3231818181818182,1,0
Belgium (Flemish),231112,587.4345,0.642,1,0
Belgium (Flemish),231113,551.58,0.606,1,0
Belgium (Flemish),231114,586.2541176470588,0.6641176470588235,1,1
Belgium (Flemish),231115,575.2586363636364,0.20772727272727273,1,0
Belgium (Flemish),231116,556.1204347826088,0.5556521739130434,0,1
Belgium (Flemish),231117,485.38461538461536,-0.19384615384615383,0,0
Belgium (Flemish),231118,472.62714285714287,-0.6471428571428571,1,1
Belgium (Flemish),231119,457.53181818181815,-1.3181818181818181,1,1
Belgium (Flemish),231120,528.605,0.14250000000000002,0,0
Belgium (Flemish),231121,613.2565384615384,0.9730769230769231,1,1
Belgium (Flemish),231122,518.7266666666667,-0.435,1,0
Belgium (Flemish),231123,533.6930769230769,-0.5130769230769231,1,0
Belgium (Flemish),231124,502.1552380952381,0.34095238095238095,0,0
Belgium (Flemish),231125,566.5272222222222,0.6722222222222223,1,NA
Belgium (Flemish),231126,513.7181818181818,0.256,1,0
Belgium (Flemish),231127,530.2394736842106,-0.04684210526315789,0,0
Belgium (Flemish),231128,523.1285714285714,-0.310952380952381,1,0
Belgium (Flemish),231129,415.61833333333334,-0.8966666666666666,0,0
Belgium (Flemish),231130,531.9123529411764,-0.2670588235294118,0,0
Belgium (Flemish),231131,563.7865,0.304,1,0
Belgium (Flemish),231132,431.3616666666667,-0.20083333333333334,1,0
Belgium (Flemish),231133,572.7488461538461,0.41038461538461535,1,0
Belgium (Flemish),231134,567.2558823529412,0.3841176470588235,1,0
Belgium (Flemish),231135,589.4790476190476,0.23761904761904762,1,1
Belgium (Flemish),231136,607.2966666666666,0.5766666666666667,1,0
Belgium (Flemish),231137,487.8504761904762,-0.42857142857142855,0,0
Belgium (Flemish),231138,543.3126666666667,-0.043333333333333335,1,0
Belgium (Flemish),231139,601.533,0.736,1,0
Belgium (Flemish),231140,567.0309523809524,0.39761904761904765,1,0
Belgium (Flemish),231141,559.4994736842106,-0.25789473684210523,1,0
Belgium (Flemish),231142,442.38866666666667,-1.3493333333333333,0,1
Belgium (Flemish),231143,423.930625,-0.8626666666666667,0,0
Belgium (Flemish),231144,461.495,-0.584375,1,0
Belgium (Flemish),231145,448.682,-0.5619999999999999,1,0
Belgium (Flemish),231146,568.28625,-0.07937500000000001,1,0
Belgium (Flemish),231147,530.1291304347826,0.19826086956521738,0,0
Belgium (Flemish),231148,567.859375,0.32875,1,0
Belgium (Flemish),231149,425.6114285714286,-0.8,0,0
Belgium (Flemish),231150,449.5178947368421,-0.9178947368421053,0,0
Belgium (Flemish),231151,628.6004761904762,0.5747619047619048,1,0
Belgium (Flemish),231152,570.1422727272727,0.48318181818181816,1,0
Belgium (Flemish),231153,568.0775,0.3565,1,0
Belgium (Flemish),231154,493.62875,-0.345625,1,0
Belgium (Flemish),231155,490.73148148148147,-0.2662962962962963,0,0
Belgium (Flemish),231156,605.3905263157894,0.20210526315789473,1,0
Belgium (Flemish),231157,459.52583333333337,-1.3881818181818182,NA,NA
Belgium (Flemish),231158,514.2566666666667,0.0975,0,0
Belgium (Flemish),231159,603.3222222222222,0.645,1,0
Belgium (Flemish),231160,459.20416666666665,-0.8141666666666667,NA,NA
Belgium (Flemish),231161,574.33,0.735,1,0
Belgium (Flemish),231162,449.9145454545455,-0.40409090909090906,NA,NA
Bulgaria,11001,553.6430769230769,0.26384615384615384,0,0
Bulgaria,11002,561.6403846153846,0.6715384615384615,0,0
Bulgaria,11003,284.8064705882353,-1.2133333333333334,0,0
Bulgaria,11004,452.453,-1.006,1,0
Bulgaria,11005,463.7442857142857,0.021428571428571408,0,0
Bulgaria,11006,426.3275,-0.6575,0,0
Bulgaria,11007,523.0076923076923,0.3334615384615385,0,1
Bulgaria,11008,547.9595833333333,0.2366666666666667,0,0
Bulgaria,11009,627.0604999999999,1.28,1,1
Bulgaria,11010,449.71,-0.4228571428571429,0,0
Bulgaria,11011,470.964,0.031199999999999995,0,0
Bulgaria,11012,572.5642307692308,0.6007692307692308,0,0
Bulgaria,11013,473.78,-0.3292,0,0
Bulgaria,11014,567.6186956521739,0.49434782608695654,0,0
Bulgaria,11015,455.018125,-0.09374999999999999,0,0
Bulgaria,11016,365.2475,-0.34291666666666665,0,0
Bulgaria,11017,421.238,-0.9279999999999999,0,0
Bulgaria,11018,558.7125,0.43375,0,0
Bulgaria,11019,595.9588888888889,0.5040740740740741,0,1
Bulgaria,11020,418.941875,-0.75625,0,0
Bulgaria,11021,563.5419047619048,0.5757142857142857,0,0
Bulgaria,11022,561.7427272727273,1.1086363636363636,0,1
Bulgaria,11023,383.79857142857145,-0.9978571428571429,0,0
Bulgaria,11024,545.2426923076923,0.6044,0,0
Bulgaria,11025,438.51235294117646,-0.8758823529411764,0,0
Bulgaria,11026,461.3566666666667,-0.6977777777777777,0,0
Bulgaria,11027,522.975,0.5638461538461539,0,0
Bulgaria,11028,536.1204347826086,0.3908695652173913,0,1
Bulgaria,11029,418.03333333333336,-1.0361111111111112,0,0
Bulgaria,11030,577.9603846153846,0.7123076923076923,0,0
Bulgaria,11031,493.0782608695652,0.022608695652173917,0,0
Bulgaria,11032,571.8536,0.39640000000000003,0,0
Bulgaria,11033,361.79526315789474,-1.0126315789473683,0,0
Bulgaria,11034,332.65875,-1.23,0,1
Bulgaria,11035,557.1121739130434,-0.12304347826086956,0,0
Bulgaria,11036,467.82153846153847,0.5530769230769231,0,1
Bulgaria,11037,600.8345833333333,1.0079166666666666,0,1
Bulgaria,11038,560.8169230769231,0.42230769230769233,0,1
Bulgaria,11039,391.65,-1.5133333333333332,0,0
Bulgaria,11040,391.50735294117646,-0.296060606060606,0,1
Bulgaria,11041,548.4103846153846,0.5623076923076923,0,1
Bulgaria,11042,633.5703703703704,1.0825925925925926,0,1
Bulgaria,11043,470.18,0.4357142857142857,0,1
Bulgaria,11044,535.6184615384616,0.19,0,0
Bulgaria,11045,524.374,0.8325,0,1
Bulgaria,11046,527.3771428571429,-0.38785714285714284,0,0
Bulgaria,11047,544.5550000000001,0.6215384615384615,0,1
Bulgaria,11048,377.464375,-0.799375,0,0
Bulgaria,11049,453.58375,-0.33666666666666667,0,0
Bulgaria,11050,417.9775,-0.6699999999999999,0,0
Bulgaria,11051,446.59499999999997,-0.8364999999999999,0,0
Bulgaria,11052,556.6752,0.7168,0,0
Bulgaria,11053,349.2209523809524,-1.069,0,0
Bulgaria,11054,480.46285714285716,0.8585714285714285,1,1
Bulgaria,11055,431.8464285714286,-1.0878571428571429,0,0
Bulgaria,11056,557.8740909090909,0.9268181818181818,0,1
Bulgaria,11057,421.8310526315789,0.09263157894736843,0,1
Bulgaria,11058,369.33166666666665,-1.1145454545454545,NA,NA
Bulgaria,11059,580.3576470588235,0.8564705882352941,0,0
Bulgaria,11060,460.6944,-0.3464,0,1
Bulgaria,11061,451.58333333333337,-0.3911111111111111,0,0
Bulgaria,11062,466.55083333333334,0.17958333333333334,0,0
Bulgaria,11063,297.2595652173913,-1.0547826086956522,0,1
Bulgaria,11064,522.47,-0.002857142857142856,0,1
Bulgaria,11065,601.4484615384615,1.1607692307692308,NA,NA
Bulgaria,11066,519.0828571428572,0.0825,0,0
Bulgaria,11067,522.907619047619,0.7823809523809524,0,1
Bulgaria,11068,535.2105263157895,0.6457894736842106,0,0
Bulgaria,11069,513.9252173913044,0.016956521739130426,0,1
Bulgaria,11070,434.36625000000004,-0.9025,0,0
Bulgaria,11071,557.7633333333333,0.6188888888888889,1,0
Bulgaria,11072,513.829,0.0995,0,0
Bulgaria,11073,473.78636363636366,0.22727272727272727,0,0
Bulgaria,11074,541.8804166666666,0.007916666666666666,0,1
Bulgaria,11075,518.1061904761905,-0.03952380952380952,0,0
Bulgaria,11076,562.5448,0.3488,0,1
Bulgaria,11077,384.77222222222224,-1.1344444444444444,0,0
Bulgaria,11078,474.31333333333333,-0.029166666666666643,0,1
Bulgaria,11079,509.0836,0.422,0,0
Bulgaria,11080,287.0679166666667,-1.190952380952381,0,0
Bulgaria,11081,537.3268181818182,0.37333333333333335,0,1
Bulgaria,11082,493.71384615384613,0.05038461538461539,0,0
Bulgaria,11083,432.35333333333335,0.30125,0,1
Bulgaria,11084,468.2178947368421,-0.43,0,0
Bulgaria,11085,474.27913043478264,0.35608695652173916,0,1
Bulgaria,11086,322.905,-0.8061904761904762,0,0
Bulgaria,11087,647.0126923076923,1.268076923076923,0,1
Bulgaria,11088,378.578,-0.5568,0,0
Bulgaria,11089,510.1575,0.42,0,1
Bulgaria,11090,485.6218181818182,-0.5027272727272727,0,0
Bulgaria,11091,506.45695652173913,0.25478260869565217,0,0
Bulgaria,11092,524.33,0.4218181818181818,0,1
Bulgaria,11093,356.55,-1.2385714285714284,0,0
Bulgaria,11094,469.7966666666667,0.2938888888888889,0,0
Bulgaria,11095,442.58956521739134,-0.24,0,0
Bulgaria,11096,507.58,0.096,0,1
Bulgaria,11097,594.5013043478261,0.8578260869565217,0,1
Bulgaria,11098,498.35333333333335,0.195,0,1
Bulgaria,11099,592.3584615384616,0.7603846153846154,0,0
Bulgaria,11100,589.6092,0.5264,0,1
Bulgaria,11101,608.9266666666666,1.1655555555555557,0,1
Bulgaria,11102,602.9427586206897,1.1696551724137931,0,1
Bulgaria,11103,549.9872,0.7496,0,1
Bulgaria,11104,293.83,-1.5446666666666666,0,0
Bulgaria,11105,428.07730769230767,-0.112,0,0
Bulgaria,11106,490.85133333333334,0.06333333333333334,0,0
Bulgaria,11107,463.33923076923077,0.04461538461538461,0,1
Bulgaria,11108,339.7866666666667,-1.2627777777777778,0,0
Bulgaria,11109,431.42045454545456,-1.075909090909091,0,0
