ge1,ge2,ge3,ge4,ge5,ge6,ses,edu,civ_level,cty
1,1,1,4,4,4,2.518570523991474,none-tertiary,level 1,CHL
1,1,1,3,1,1,1.9848430237555705,none-tertiary,level 0,CHL
1,1,1,1,1,1,2.433292563695049,none-tertiary,level 1,CHL
3,1,1,4,4,4,3.645065461999417,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.4647832286641442,none-tertiary,level 1,CHL
1,1,1,1,1,1,3.4223446573918537,none-tertiary,level 0,CHL
1,1,1,4,2,1,4.586950569975112,tertiary,level 2,CHL
1,1,4,4,4,4,3.2737498250257353,none-tertiary,level 1,CHL
2,2,1,2,2,2,3.284366885505105,none-tertiary,level 1,CHL
1,1,3,3,3,3,2.5398835177053583,none-tertiary,level 2,CHL
1,1,1,4,4,3,4.755967350823294,tertiary,level 1,CHL
4,4,2,3,3,2,2.742232595577933,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.7404570603287604,none-tertiary,level 3,CHL
1,1,1,4,4,4,1.9527589759479738,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.5496381992411647,none-tertiary,level 2,CHL
1,1,2,2,3,3,2.486596196879272,none-tertiary,level 1,CHL
1,1,1,4,4,4,4.523546515328017,tertiary,level 3,CHL
2,2,1,4,3,1,2.50791306264104,none-tertiary,level 0,CHL
2,1,1,4,4,4,2.997528653980617,tertiary,level 2,CHL
1,1,1,4,4,4,3.9099569432592176,tertiary,level 2,CHL
1,1,1,3,2,4,2.337303732345996,none-tertiary,level 2,CHL
2,2,2,3,2,1,2.219907293241243,none-tertiary,level 1,CHL
1,1,1,4,4,4,3.071930323873185,none-tertiary,level 3,CHL
1,1,1,4,4,4,4.565817284180969,tertiary,level 2,CHL
1,1,1,4,3,3,2.337303732345996,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.113106364745307,none-tertiary,level 3,CHL
1,1,1,4,4,1,3.1675519020829404,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.933734821911588,none-tertiary,level 3,CHL
1,1,1,3,4,3,2.9231006020152295,none-tertiary,level 2,CHL
1,1,4,4,4,4,2.986897706099148,none-tertiary,level 3,CHL
1,1,1,4,4,4,4.058183139399441,tertiary,level 2,CHL
1,1,1,3,3,3,2.198553092196753,none-tertiary,level 2,CHL
1,1,1,4,4,4,4.37555403782439,tertiary,level 2,CHL
2,3,2,4,3,3,2.8273675100798714,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.2732800274416927,none-tertiary,level 2,CHL
2,2,2,2,2,2,2.433292563695049,none-tertiary,level 0,CHL
1,1,1,3,2,2,3.4011225592240053,none-tertiary,level 2,CHL
1,1,1,4,4,4,3.0294182753214134,none-tertiary,level 2,CHL
2,2,2,2,2,2,2.933734821911588,none-tertiary,level 0,CHL
1,1,1,2,2,2,2.3479718968023717,tertiary,level 0,CHL
2,1,1,3,2,4,1.9848430237555705,none-tertiary,level 0,CHL
1,1,1,4,4,4,1.8029317233243098,none-tertiary,level 0,CHL
2,2,2,2,2,2,1.3415576450425593,none-tertiary,level 0,CHL
1,1,1,3,3,3,1.1801117736243185,none-tertiary,level 0,CHL
1,1,1,3,2,3,3.9629039272384707,tertiary,level 2,CHL
2,2,1,3,2,2,1.9527589759479738,none-tertiary,level 0,CHL
1,1,1,3,3,4,1.9527589759479738,none-tertiary,level 1,CHL
2,2,2,2,2,2,2.081051222466144,none-tertiary,level 0,CHL
1,1,1,1,2,1,3.5496381992411647,none-tertiary,level 0,CHL
1,2,4,4,4,1,2.2732800274416927,none-tertiary,level 1,CHL
2,1,1,4,4,4,2.603807264891384,none-tertiary,level 1,CHL
1,1,1,3,1,1,1.7493796054903816,none-tertiary,level 0,CHL
1,1,1,4,3,3,2.219907293241243,none-tertiary,level 1,CHL
2,2,3,2,3,1,1.8029317233243098,none-tertiary,level 0,CHL
1,1,1,4,4,4,2.5398835177053583,none-tertiary,level 1,CHL
1,1,1,2,1,1,2.880558177032969,none-tertiary,level 0,CHL
1,1,1,2,2,2,1.4812516474076294,none-tertiary,level 0,CHL
1,1,2,2,2,1,1.4168020029158923,none-tertiary,level 0,CHL
1,1,1,3,1,3,2.4226298475052794,none-tertiary,level 0,CHL
1,1,2,3,2,2,2.6464106153482536,none-tertiary,level 0,CHL
4,4,4,4,4,4,3.4223446573918537,none-tertiary,level 0,CHL
1,1,1,4,4,4,4.100519159574187,tertiary,level 3,CHL
2,2,2,3,3,3,4.6397777164796175,tertiary,level 2,CHL
1,1,1,3,3,4,4.438987999215622,tertiary,level 1,CHL
1,1,1,4,2,4,4.755967350823294,tertiary,level 1,CHL
1,1,1,4,4,4,4.269801482452974,tertiary,level 2,CHL
1,1,1,3,1,1,4.470700114904408,tertiary,level 1,CHL
1,1,1,4,4,2,3.8146264693094425,tertiary,level 3,CHL
1,1,1,4,4,4,4.819326370710989,tertiary,level 3,CHL
1,1,1,4,4,4,4.470700114904408,tertiary,level 2,CHL
1,1,1,4,4,4,3.8252204089291637,tertiary,level 2,CHL
1,1,1,4,4,4,4.586950569975112,tertiary,level 2,CHL
1,1,1,4,4,4,3.973492107640583,tertiary,level 3,CHL
1,1,1,4,4,4,4.322682378169567,tertiary,level 2,CHL
1,1,1,4,2,4,4.882673498208193,tertiary,level 2,CHL
2,1,1,3,4,2,2.742232595577933,none-tertiary,level 3,CHL
1,1,1,4,4,4,4.290954956532273,tertiary,level 3,CHL
1,1,1,4,4,4,5.0198855605575154,tertiary,level 1,CHL
1,1,1,4,4,4,4.819326370710989,tertiary,level 3,CHL
1,1,1,4,4,4,4.819326370710989,tertiary,level 2,CHL
1,1,1,4,4,4,5.030438097761624,tertiary,level 3,CHL
1,1,1,4,4,2,4.671469876000119,tertiary,level 3,CHL
1,1,1,4,3,4,4.671469876000119,tertiary,level 3,CHL
1,1,2,4,4,3,5.114847073168237,tertiary,level 3,CHL
1,1,1,4,4,4,5.547137924254576,tertiary,level 3,CHL
1,1,1,4,4,3,4.290954956532273,tertiary,level 3,CHL
1,1,3,4,4,4,4.882673498208193,tertiary,level 3,CHL
1,1,1,4,4,4,3.5496381992411647,none-tertiary,level 3,CHL
1,1,1,4,4,4,4.882673498208193,tertiary,level 3,CHL
1,1,1,4,4,4,4.903786592167155,tertiary,level 3,CHL
2,1,2,3,2,3,3.9099569432592176,tertiary,level 2,CHL
1,1,1,4,4,3,4.555250117877206,tertiary,level 3,CHL
1,1,1,4,4,4,4.470700114904408,tertiary,level 3,CHL
1,1,1,3,3,2,4.734845006729638,tertiary,level 2,CHL
1,1,1,3,4,4,4.290954956532273,tertiary,level 2,CHL
1,1,1,4,4,4,4.523546515328017,tertiary,level 3,CHL
1,1,1,4,1,2,3.8464070325460353,tertiary,level 2,CHL
1,2,2,4,1,2,5.072645092527965,tertiary,level 1,CHL
1,1,1,3,2,2,4.671469876000119,tertiary,level 1,CHL
1,1,1,4,4,4,4.755967350823294,tertiary,level 3,CHL
1,1,2,4,3,3,4.671469876000119,tertiary,level 3,CHL
2,1,2,2,2,2,4.164011509094448,tertiary,level 0,CHL
1,1,1,4,4,3,4.470700114904408,tertiary,level 2,CHL
1,1,1,4,4,4,4.998779535160276,tertiary,level 3,CHL
1,1,1,4,4,4,3.9099569432592176,tertiary,level 2,CHL
1,1,1,4,4,2,4.111102186925292,tertiary,level 2,CHL
1,1,1,4,4,4,4.671469876000119,tertiary,level 3,CHL
1,1,1,4,4,4,5.188688601623956,tertiary,level 3,CHL
1,1,1,4,4,4,5.051542224598105,tertiary,level 3,CHL
2,2,2,3,3,3,1.3415576450425593,none-tertiary,level 0,CHL
1,1,1,4,4,4,1.8992687672536015,none-tertiary,level 1,CHL
1,1,1,3,3,3,2.880558177032969,none-tertiary,level 2,CHL
1,2,2,1,2,2,1.1585626912469726,none-tertiary,level 0,CHL
1,1,1,4,4,3,2.0276102575542216,none-tertiary,level 3,CHL
1,1,3,2,1,1,2.155835773822917,none-tertiary,level 1,CHL
2,2,1,4,4,4,1.7172371395868562,none-tertiary,level 2,CHL
1,1,1,4,1,4,2.912465829661981,none-tertiary,level 2,CHL
1,2,1,3,2,2,1.6958040650167903,none-tertiary,level 1,CHL
2,2,2,2,2,2,1.3630620393314599,none-tertiary,level 0,CHL
1,1,1,4,4,4,1.9848430237555705,none-tertiary,level 2,CHL
