ID;sexo;edad;ocupa;reli;sexismo1;sexismo2;sexismo3;sexismo4;conogay;conoles;amigay;amiles;afe1gay;afe2gay;afe3gay;afe4gay;afe1les;afe2les;afe3les;afe4les;homo1gay;homo2gay;homo3gay;homo4gay;homo5gay;homo6gay;homo7gay;homo1les;homo2les;homo3les;homo4les;homo5les;homo6les;homo7les;int1gay;int2gay;int3gay;int4gay;int1les;int2les;int3les;int4les;DD01_01;DD01_02;DD02_01;DD02_02
454;1;19;1;2;1;3;1;1;3;5;3;3;5;5;3;5;5;5;3;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;5;5;4;4;5;5;4;5;5;5;5
496;0;19;1;1;1;1;1;1;5;3;4;2;5;5;5;5;5;5;5;5;1;1;1;1;1;2;1;1;1;1;1;1;2;1;4;4;4;4;5;5;5;5;4;5;5;3
595;1;19;1;4;1;3;1;1;2;2;0;2;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;2;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5
629;1;19;1;3;2;4;2;2;0;3;4;3;5;5;5;5;5;5;5;5;2;1;2;2;1;4;1;1;1;4;2;2;2;1;5;5;5;5;5;5;5;5;5;5;5;5
760;1;19;1;2;1;1;1;3;1;2;1;2;5;5;5;5;5;5;5;5;1;5;1;1;1;1;1;1;5;1;1;1;1;1;3;3;3;3;3;3;3;3;5;5;5;4
904;0;19;1;1;3;2;4;3;3;2;0;0;5;5;5;5;5;5;3;5;2;1;3;4;2;1;2;2;1;3;4;3;1;2;4;3;4;4;4;3;4;4;5;5;5;5
910;0;19;1;1;4;2;4;3;5;2;0;1;5;5;5;5;5;5;5;5;3;1;2;1;2;1;1;2;1;2;3;4;1;2;5;3;5;5;5;3;5;5;5;5;5;5
912;0;19;1;1;1;1;3;2;3;1;3;2;5;5;3;4;5;5;3;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;5;5;5;5
916;1;19;1;4;1;2;2;2;4;4;2;5;5;5;5;5;5;5;5;5;1;1;2;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5
630;1;18;1;3;4;5;2;2;1;5;1;4;5;5;5;5;5;5;5;5;3;1;3;4;2;1;1;3;1;1;4;1;1;1;4;5;5;5;5;5;5;5;5;5;5;5
45;1;18;1;2;1;2;1;1;1;3;1;3;5;5;5;5;5;5;5;5;1;1;1;1;1;3;3;1;1;2;1;1;3;1;5;5;5;5;5;5;5;5;5;5;5;5
46;1;18;1;6;1;2;1;1;1;0;2;0;5;5;5;5;5;5;5;5;1;1;1;3;1;1;2;1;1;1;1;1;1;3;4;4;4;4;4;4;4;4;5;5;5;5
47;1;18;1;7;5;4;3;4;0;5;0;4;5;5;5;5;4;5;5;5;3;3;4;4;4;2;3;3;3;4;4;4;4;3;5;5;5;5;5;5;5;5;2;1;1;4
55;1;18;1;7;1;2;1;1;2;1;1;0;5;5;5;5;5;5;5;5;1;1;1;1;1;2;1;1;1;1;1;1;2;1;5;5;5;5;5;5;5;5;5;4;5;5
58;1;18;1;3;1;1;1;3;1;2;0;1;5;5;4;4;4;4;4;4;2;1;2;2;2;2;2;2;1;1;1;2;2;2;4;4;4;4;4;4;4;4;5;5;5;5
89;0;18;1;6;2;3;1;3;3;0;1;0;5;5;4;4;4;4;3;3;1;1;4;3;2;1;2;3;2;3;4;2;2;2;4;4;4;4;3;4;3;3;5;4;4;5
135;1;18;1;2;2;2;1;2;4;4;1;4;5;5;5;5;4;5;4;4;2;1;2;1;1;1;1;1;1;1;1;2;1;1;4;4;4;4;4;4;4;4;5;5;5;5
136;1;18;1;1;1;2;1;1;4;3;5;3;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5
180;1;18;1;4;1;1;1;1;3;1;2;1;5;5;5;5;5;5;5;5;1;1;4;1;1;1;1;1;1;4;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5
181;1;18;1;3;2;2;2;2;5;0;3;0;5;5;5;5;5;5;5;5;1;1;1;2;2;2;4;1;1;1;2;2;2;4;5;5;5;5;5;5;5;5;5;5;5;5
212;0;18;1;1;1;4;1;1;1;3;0;1;5;5;3;5;5;5;3;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;5;5;5;5
251;1;18;1;5;3;4;3;4;2;0;1;0;5;5;5;5;4;5;3;4;3;1;4;1;3;1;2;3;1;4;1;2;1;2;5;5;5;5;5;5;5;5;5;5;5;5
258;1;18;1;5;2;2;3;3;3;1;2;0;5;5;4;4;4;5;5;3;2;1;1;1;2;1;1;2;1;2;2;1;1;1;4;5;5;5;4;4;4;4;5;5;5;4
270;1;18;1;6;1;1;1;1;2;4;1;3;5;5;5;5;5;5;5;5;1;1;2;1;1;1;1;1;1;2;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5
295;1;18;1;5;2;4;2;1;3;5;2;3;5;5;5;5;5;5;5;5;2;1;1;1;1;1;2;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5
301;1;18;1;2;3;4;1;3;3;2;1;1;5;5;5;5;5;5;5;5;3;1;2;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5
419;1;18;1;6;4;4;3;4;3;4;2;0;5;5;5;5;5;5;5;5;2;1;3;2;4;2;3;2;1;2;2;4;2;4;4;4;4;4;4;4;4;4;5;5;5;5
498;1;18;3;2;1;1;1;1;3;2;0;3;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5
594;1;18;1;7;3;5;4;5;2;1;0;0;5;5;4;4;4;4;4;4;3;3;2;4;2;3;4;2;4;2;4;2;3;4;4;4;4;4;4;4;4;4;1;1;2;3
597;0;18;1;5;4;4;4;5;5;8;1;4;5;5;5;5;5;5;5;5;3;1;2;2;2;1;1;5;1;5;4;5;1;4;4;4;4;4;5;5;5;5;5;5;5;5
682;1;18;1;5;1;1;1;1;2;0;4;0;5;5;5;5;5;5;5;5;1;1;3;1;1;1;1;1;1;1;1;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5
795;0;18;1;4;1;1;1;1;1;1;0;1;5;5;3;3;5;5;3;3;2;1;1;1;4;1;1;1;1;1;1;3;1;1;5;5;5;3;5;5;5;3;5;5;5;5
811;0;18;1;3;2;2;2;3;3;3;2;2;5;5;4;5;5;5;3;5;2;1;2;2;3;2;2;2;1;3;2;2;2;1;4;4;4;4;4;4;4;4;5;5;5;5
813;1;18;1;2;1;3;2;1;0;2;1;3;5;5;5;5;5;5;5;5;1;1;1;1;1;1;1;1;2;1;1;1;1;1;4;4;4;4;4;4;4;4;5;5;5;5
906;0;18;1;1;1;3;1;1;3;3;2;2;5;5;5;5;5;5;5;5;2;1;1;1;2;1;1;1;1;1;1;2;1;1;3;3;3;5;3;3;3;5;5;5;5;5
530;1;2;1;5;1;5;1;5;5;2;1;0;5;5;5;4;5;5;5;4;3;1;5;2;4;1;1;3;1;4;1;2;1;1;5;4;3;3;5;3;3;3;5;2;5;5
