ge1,ge2,ge3,ge4,ge5,ge6,ses,edu,civ_level,cty
4,4,2,3,3,2,-0.16,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.78,none-tertiary,level 3,CHL
1,1,1,4,4,4,-0.9,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.6,none-tertiary,level 2,CHL
1,1,2,2,3,3,-0.4,none-tertiary,level 1,CHL
1,1,1,4,4,4,1.52,tertiary,level 3,CHL
2,2,1,4,3,1,-0.38,none-tertiary,level 0,CHL
2,1,1,4,4,4,0.08,tertiary,level 2,CHL
1,1,1,4,4,4,0.94,tertiary,level 2,CHL
1,1,1,3,2,4,-0.54,none-tertiary,level 2,CHL
2,2,2,3,2,1,-0.65,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.15,none-tertiary,level 3,CHL
1,1,1,4,4,4,1.56,tertiary,level 2,CHL
1,1,1,4,3,3,-0.54,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.75,none-tertiary,level 3,CHL
1,1,1,4,4,1,0.24,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.02,none-tertiary,level 3,CHL
1,1,1,3,4,3,0.01,none-tertiary,level 2,CHL
1,1,4,4,4,4,0.07,none-tertiary,level 3,CHL
1,1,1,4,4,4,1.08,tertiary,level 2,CHL
1,1,1,3,3,3,-0.67,none-tertiary,level 2,CHL
1,1,1,4,4,4,1.38,tertiary,level 2,CHL
2,3,2,4,3,3,-0.08,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.6,none-tertiary,level 2,CHL
2,2,2,2,2,2,-0.45,none-tertiary,level 0,CHL
1,1,1,3,2,2,0.46,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.11,none-tertiary,level 2,CHL
2,2,2,2,2,2,0.02,none-tertiary,level 0,CHL
1,1,1,2,2,2,-0.53,tertiary,level 0,CHL
2,1,1,3,2,4,-0.87,none-tertiary,level 0,CHL
1,1,1,4,4,4,-1.04,none-tertiary,level 0,CHL
2,2,2,2,2,2,-1.47,none-tertiary,level 0,CHL
1,1,1,3,3,3,-1.62,none-tertiary,level 0,CHL
1,1,1,3,2,3,0.99,tertiary,level 2,CHL
2,2,1,3,2,2,-0.9,none-tertiary,level 0,CHL
1,1,1,3,3,4,-0.9,none-tertiary,level 1,CHL
2,2,2,2,2,2,-0.78,none-tertiary,level 0,CHL
1,1,1,1,2,1,0.6,none-tertiary,level 0,CHL
1,2,4,4,4,1,-0.6,none-tertiary,level 1,CHL
2,1,1,4,4,4,-0.29,none-tertiary,level 1,CHL
1,1,1,3,1,1,-1.09,none-tertiary,level 0,CHL
1,1,1,4,3,3,-0.65,none-tertiary,level 1,CHL
2,2,3,2,3,1,-1.04,none-tertiary,level 0,CHL
1,1,1,4,4,4,-0.35,none-tertiary,level 1,CHL
1,1,1,2,1,1,-0.03,none-tertiary,level 0,CHL
1,1,1,2,2,2,-1.34,none-tertiary,level 0,CHL
1,1,2,2,2,1,-1.4,none-tertiary,level 0,CHL
1,1,1,3,1,3,-0.46,none-tertiary,level 0,CHL
1,1,2,3,2,2,-0.25,none-tertiary,level 0,CHL
4,4,4,4,4,4,0.48,none-tertiary,level 0,CHL
1,1,1,4,4,4,1.12,tertiary,level 3,CHL
2,2,2,3,3,3,1.63,tertiary,level 2,CHL
1,1,1,3,3,4,1.44,tertiary,level 1,CHL
1,1,1,4,2,4,1.74,tertiary,level 1,CHL
1,1,1,4,4,4,1.28,tertiary,level 2,CHL
1,1,1,3,1,1,1.47,tertiary,level 1,CHL
1,1,1,4,4,2,0.85,tertiary,level 3,CHL
1,1,1,4,4,4,1.8,tertiary,level 3,CHL
1,1,1,4,4,4,1.47,tertiary,level 2,CHL
1,1,1,4,4,4,0.86,tertiary,level 2,CHL
1,1,1,4,4,4,1.58,tertiary,level 2,CHL
1,1,1,4,4,4,1,tertiary,level 3,CHL
1,1,1,4,4,4,1.33,tertiary,level 2,CHL
1,1,1,4,2,4,1.86,tertiary,level 2,CHL
2,1,1,3,4,2,-0.16,none-tertiary,level 3,CHL
1,1,1,4,4,4,1.3,tertiary,level 3,CHL
1,1,1,4,4,4,1.99,tertiary,level 1,CHL
1,1,1,4,4,4,1.8,tertiary,level 3,CHL
1,1,1,4,4,4,1.8,tertiary,level 2,CHL
1,1,1,4,4,4,2,tertiary,level 3,CHL
1,1,1,4,4,2,1.66,tertiary,level 3,CHL
1,1,1,4,3,4,1.66,tertiary,level 3,CHL
1,1,2,4,4,3,2.08,tertiary,level 3,CHL
1,1,1,4,4,4,2.49,tertiary,level 3,CHL
1,1,1,4,4,3,1.3,tertiary,level 3,CHL
1,1,3,4,4,4,1.86,tertiary,level 3,CHL
1,1,1,4,4,4,0.6,none-tertiary,level 3,CHL
1,1,1,4,4,4,1.86,tertiary,level 3,CHL
1,1,1,4,4,4,1.88,tertiary,level 3,CHL
2,1,2,3,2,3,0.94,tertiary,level 2,CHL
1,1,1,4,4,3,1.55,tertiary,level 3,CHL
1,1,1,4,4,4,1.47,tertiary,level 3,CHL
1,1,1,3,3,2,1.72,tertiary,level 2,CHL
1,1,1,3,4,4,1.3,tertiary,level 2,CHL
1,1,1,4,4,4,1.52,tertiary,level 3,CHL
1,1,1,4,1,2,0.88,tertiary,level 2,CHL
1,2,2,4,1,2,2.04,tertiary,level 1,CHL
1,1,1,3,2,2,1.66,tertiary,level 1,CHL
1,1,1,4,4,4,1.74,tertiary,level 3,CHL
1,1,2,4,3,3,1.66,tertiary,level 3,CHL
2,1,2,2,2,2,1.18,tertiary,level 0,CHL
1,1,1,4,4,3,1.47,tertiary,level 2,CHL
1,1,1,4,4,4,1.97,tertiary,level 3,CHL
1,1,1,4,4,4,0.94,tertiary,level 2,CHL
1,1,1,4,4,2,1.13,tertiary,level 2,CHL
1,1,1,4,4,4,1.66,tertiary,level 3,CHL
1,1,1,4,4,4,2.15,tertiary,level 3,CHL
1,1,1,4,4,4,2.02,tertiary,level 3,CHL
2,2,2,3,3,3,-1.47,none-tertiary,level 0,CHL
1,1,1,4,4,4,-0.95,none-tertiary,level 1,CHL
1,1,1,3,3,3,-0.03,none-tertiary,level 2,CHL
1,2,2,1,2,2,-1.64,none-tertiary,level 0,CHL
1,1,1,4,4,3,-0.83,none-tertiary,level 3,CHL
1,1,3,2,1,1,-0.71,none-tertiary,level 1,CHL
2,2,1,4,4,4,-1.12,none-tertiary,level 2,CHL
1,1,1,4,1,4,0,none-tertiary,level 2,CHL
1,2,1,3,2,2,-1.14,none-tertiary,level 1,CHL
2,2,2,2,2,2,-1.45,none-tertiary,level 0,CHL
1,1,1,4,4,4,-0.87,none-tertiary,level 2,CHL
1,1,2,2,1,1,-0.33,none-tertiary,level 0,CHL
1,1,1,3,1,3,-0.69,none-tertiary,level 1,CHL
1,1,2,4,2,2,-1.01,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.07,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.05,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.89,none-tertiary,level 3,CHL
2,2,2,2,4,4,0.08,tertiary,level 1,CHL
1,1,1,4,4,4,-0.48,none-tertiary,level 3,CHL
1,1,1,3,4,4,-0.85,none-tertiary,level 1,CHL
1,2,1,4,4,4,-1.11,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.46,none-tertiary,level 3,CHL
1,1,1,4,4,4,-0.5,none-tertiary,level 2,CHL
1,1,1,4,3,4,-0.21,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.57,none-tertiary,level 2,CHL
1,1,1,4,4,4,-0.66,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.43,none-tertiary,level 1,CHL
1,1,1,4,4,4,0.74,none-tertiary,level 1,CHL
1,1,1,4,1,3,0.54,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.28,none-tertiary,level 0,CHL
1,1,1,4,4,4,-0.57,none-tertiary,level 2,CHL
1,1,1,3,2,3,-0.87,none-tertiary,level 0,CHL
1,1,1,4,4,3,0.96,tertiary,level 2,CHL
1,2,2,2,1,1,-0.4,none-tertiary,level 1,CHL
1,1,1,1,1,1,-0.9,none-tertiary,level 0,CHL
1,1,1,3,2,4,-1.12,none-tertiary,level 1,CHL
1,1,1,4,4,4,-0.51,none-tertiary,level 2,CHL
1,1,2,3,1,1,-0.05,none-tertiary,level 0,CHL
1,1,1,4,4,4,-0.74,none-tertiary,level 1,CHL
1,1,1,1,4,4,-0.78,none-tertiary,level 1,CHL
4,4,4,4,4,4,-0.85,none-tertiary,level 1,CHL
1,1,1,4,4,4,-0.85,none-tertiary,level 2,CHL
1,1,1,3,4,3,-0.65,none-tertiary,level 2,CHL
1,1,1,4,4,4,0.39,none-tertiary,level 3,CHL
1,1,2,4,3,3,1.74,tertiary,level 2,CHL
1,1,1,4,4,4,2.49,tertiary,level 3,CHL
1,1,1,4,4,3,2.41,tertiary,level 3,CHL
1,1,1,3,3,3,0.72,tertiary,level 3,CHL
1,1,1,3,4,4,1.86,tertiary,level 3,CHL
1,1,1,4,4,3,1.58,none-tertiary,level 2,CHL
1,1,1,4,4,4,2.38,tertiary,level 3,CHL
1,1,1,4,4,4,2.49,tertiary,level 3,CHL
1,1,1,4,1,4,2.49,tertiary,level 2,CHL
1,1,1,4,4,4,1.44,tertiary,level 3,CHL
2,3,1,3,4,2,2.22,tertiary,level 2,CHL
1,1,1,3,4,4,1.97,tertiary,level 2,CHL
1,1,2,4,4,2,1.5,tertiary,level 3,CHL
2,3,4,4,4,4,1.68,tertiary,level 1,CHL
1,1,1,4,4,3,1.01,tertiary,level 1,CHL
1,1,1,4,2,1,0.74,tertiary,level 2,CHL
1,1,1,3,4,4,2.13,tertiary,level 2,CHL
1,1,1,4,4,4,1.99,tertiary,level 1,CHL
2,2,2,3,3,3,0.88,tertiary,level 3,CHL
1,1,1,3,3,2,1.74,tertiary,level 3,CHL
2,2,2,4,3,3,2.49,tertiary,level 2,CHL
1,1,1,4,4,4,0.81,none-tertiary,level 3,CHL
1,1,2,4,4,4,2.38,tertiary,level 2,CHL
1,1,1,4,4,4,0.76,none-tertiary,level 3,CHL
1,1,1,3,3,3,1.63,tertiary,level 3,CHL
1,1,1,4,4,2,2.13,tertiary,level 2,CHL
