id,idcntry,mat,len,cie,dep,rur,sex,age,edm,edp,s01,s02,s03,s04,s05,s06,s07,b01,b02,b03,b04,b05,b06,b07,b08,bok,am1,am2,am3,as1,as2,as3,re1,re2,re3,re4,re5,re6,re7,ma1,ma2,ma3,ma4,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,rep,v01,v02,v03,v04,v05,v06
15261300116,152,712.447327036874,791.599892435478,711.655407960354,1,1,0,12,6,5,1,1,1,1,1,1,1,3,2,3,1,1,0,3,3,6,2,3,2,1,2,1,3,3,2,3,3,3,2,3,2,2,3,3,3,3,3,2,2,2,3,3,3,2,1,1,0,0,0,0,1,1
15241170119,152,977.910619732117,897.252014371893,783.38611365402,1,0,0,12,NA,NA,1,1,1,1,1,1,1,3,3,3,1,1,0,3,2,6,3,2,1,1,2,1,2,3,2,2,3,3,2,3,3,3,1,3,3,3,2,2,3,2,3,3,2,3,3,1,0,0,0,0,0,0
15260630110,152,839.160701696823,771.440359779417,833.83942197695,0,1,0,12,NA,2,1,1,1,1,1,1,1,3,3,2,2,1,1,2,0,3,2,3,3,2,2,1,2,2,3,2,2,2,3,3,2,3,3,3,2,2,3,3,2,3,2,2,1,2,2,1,0,0,0,1,0,0
15261470101,152,568.563424902677,605.940340639263,654.543615895988,1,0,0,12,NA,6,1,1,0,1,1,0,0,2,1,2,1,1,0,0,0,4,3,2,1,1,1,1,2,2,3,3,3,2,2,3,2,2,2,3,3,3,2,3,2,2,1,2,2,2,2,1,0,0,0,0,0,0
15260770122,152,799.820972702492,880.474156220866,730.865360950977,0,1,1,12,2,2,1,1,0,0,1,1,1,3,NA,1,1,1,3,2,1,3,2,2,2,1,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,1,0,0,0,0,0,0
15261090219,152,966.020818864017,858.040399938525,1042.1072331922,1,0,1,12,5,5,1,1,1,1,1,1,1,3,NA,2,2,1,1,3,2,6,3,3,2,1,1,1,2,2,2,1,2,3,3,3,3,2,3,1,3,3,3,2,2,3,2,3,3,1,3,1,0,0,0,0,0,0
15261510114,152,792.492246086554,857.424671279448,724.186395252544,1,0,1,12,3,3,1,1,1,0,1,1,1,2,1,1,1,0,3,0,0,5,2,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,3,3,1,0,0,0,0,0,0
15261280316,152,780.661072230014,763.331321493914,711.655407960354,1,0,1,12,6,6,1,1,1,1,1,1,1,2,2,2,1,1,1,2,3,6,NA,1,1,2,3,2,3,3,3,2,3,2,3,3,3,2,2,2,2,3,1,2,1,3,2,1,1,3,3,1,0,1,0,0,0,1
15261720223,152,977.263164611143,885.855040893083,841.20973212991,1,0,1,12,5,6,1,1,1,1,1,1,1,3,3,3,2,1,3,1,1,3,3,2,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,1,0,0,0,0,0,0
15260200109,152,760.733568159889,787.895636127489,699.967567110936,0,0,1,12,2,NA,1,1,0,1,0,0,1,3,2,2,1,1,3,0,0,6,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,1,2,2,1,2,2,2,2,2,2,1,0,0,0,0,0,0
