FOLIO,IDG1,IDG2,IGD3,IDG4,ID5,SV,ACT1,ACT2,ACT3,ACT4,ACT5,DIS1,DIS2,DIS3,DIS4,DIS5,AM1,AM2,AM3,AM4,AM5,C1,C2,C3,C4,C5,EN1,EN2,EN3,EN4,EN5,EP1,EP2,EP3,EP4,EP5,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AC8,AC9,AC10,AC11,SEXO,EDAD,NIVED,ESTCIV,PP,PO,ING,REL,FREL
1357,5,5,1,5,5,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,9,9,9,9,9,9,9,9,9,9,9,2,35,10,1,5,10,99,1,2
1358,4,4,2,4,3,8,3,3,3,3,3,5,5,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,40,10,1,8,10,13,1,3
2391,3,3,3,3,3,7,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,1,1,2,1,1,1,1, ,1,1,3,3, ,4,3,2,2,2,2,2,2,2,2,2,2,2,2,38,5,1,5,10, ,9, 
2392,4,4,2,2,4,10,3,3,3,3,3,5,5,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,4,2,2,2,2,2,2,1,2,2,2,2,2,18,5,3,99,10, ,1,3
1366,4,4,2,4,4,7,4,4,5,4,4,5,4,1,3,4,1,1,1,1,1,1,1,9,1,1,1,1, ,2,2,4,4, ,3,4,2,2,2,2,2,2,2,1,2,2,2,1,47,9,1,4,10,11,1,3
1367,4,4,2,4,4,8,3,3,3,3,3,4,4,2,1,4,1,1,1,1,1,2,1,1,1,1, ,1,1,1,1, ,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,34,9,3,5,10,9,1,5
1368,4,4,1,5,5,9,2,4,4,4,2,4,3,3,1,3,5,4,4,5,2,2,1,1,1,1, ,1,1,1,1, ,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,44,5,1,5,10, ,1,2
1369,5,5,1,5,5,10,4,5,4,4,4,4,4,2,1,3,3,4,3,5,3,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,2,2,2,2,2,2,1,2,2,2,2,1,62,7,1,1,10, ,9, 
1370,4,4,2,4,4,10,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,47,99,1,10,10,12,1,1
1391,4,4,2,3,4,5,4,3,3,3,3,4,4,1,1,3,3,3,3,3,3,1,1,1,1,1,2,1,1,3,3,4,3,4,3,3,2,2,2,2,2,2,2,1,2,2,2,1,20,8,3,4,10, ,1,5
1392,4,4,1,4,4,3,3,4,4,4,4,5,5,4,1,4,2,2,2,3,2,1,1,1,1,1,1,1,2,2,2,5,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,50,5,1,88,10, ,1,2
1406,5,3,1,2,2,7,1,4,4,4,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,38,5,2,2,10,5,9, 
1407,3,4,2,3,4,8,4,4,4,4,4,4,4,4,4,4,2,3,3,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,1,1,2,1,1,1,1,1,2,2,2,2,39,10,1,2,10,11,1,3
1408,3,3,2,4,4,10,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2,1,1, , , ,1,1, , , ,4,4,2,2,2,2,2,2,2,2,2,2,2,2,46,9,1,8,10,13,1,3
1409,5,3,1,4,4,5,3,4,4,4,4,4,4,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,50,9,1,6,10,10,1,1
1410,5,4,1,5,5,10,9,3,3,3,3,2,2,2,2,2,9,3,3,3,3,2,2,2,1,1, , , ,1,1, , , ,4,4,2,2,2,2,2,2,2,2,2,2,2,2,32,9,1,10,10,13,1,3
2376,4,4,2,4,4,7,4,4,4,4,4,3,3,2,2,2,1,1,1,1,1,2,2,1,1,1, , ,1,1,1, , ,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,32,9,1,99,10,11,99, 
2377,5,5,1,5,5,8,2,4,2,3,5,1,1,4,3,2,5,5,5,5,5,2,2,2,1,1, , , ,1,1, , , ,4,3,2,2,2,2,2,2,2,2,2,2,2,2,70,9,1,5,10, ,99, 
2378,4,4,2,4,4,9,3,5,3,9,9,4,4,3,1,5,3,3,3,3,3,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,75,10,4,5,10, ,1,6
2379,5,4,2,4,4,10,5,5,4,5,5,4,3,2,2,4,1,1,1,1,1,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,64,9,1,5,10, ,1,6
1416,4,4,2,4,3,9,4,4,4,4,4,4,4,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,46,10,1,7,10, ,1,5
1417,4,4,2,4,3,9,4,4,4,4,4,4,3,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,50,9,1,8,10,12,1,5
1418,5,5,1,5,5,10,1,4,3,5,3,4,4,3,1,3,3,3,3,3,3,2,2,1,1,1, , ,1,1,1, , ,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,24,9,3,5,10, ,1,2
1419,4,5,1,5,5,9,4,4,4,4,4,4,4,5,2,2,4,4,4,4,4,2,2,2,2,2, , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,35,9,1,5,10, ,1,3
1436,4,4,2,4,4,9,3,3,3,1,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,43,8,3,99,4, ,1,2
1437,5,5,3,4,4,6,2,4,3,3,3,3,5,1,1,3,1,1,1,1,1,1,2,1,1,1,1, ,1,1,1,3, ,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,52,8,1,5,10, ,9, 
