ID,affo1,affo2,affo3,outt1,outt2,outt3,famn1,famn2,famn3,clan1,clan2,clan3,natic1,natic2,natic3,idma1,idma2,idma3,qous1,qous2,qous3,qous4,qous5,goufr,ethnia,sex,region,age
87,4,7,4,3,1,4,5,4,4,2,1,2,2,4,3,1,2,2,4,5,2,4,3,-99,CHI,2,1,14
88,5,3,3,4,2,5,3,3,4,4,4,5,5,5,5,1,1,1,4,4,4,4,4,9,CHI,2,2,15
89,5,7,5,4,1,6,1,1,1,1,-99,1,2,-99,2,3,3,2,-99,4,5,5,3,2,CHI,2,1,15
90,5,-99,2,5,6,5,4,5,5,5,4,5,5,6,5,-99,-99,3,3,4,5,3,5,8,CHI,1,2,15
91,3,3,2,5,1,5,5,5,3,3,-99,3,7,5,7,2,2,4,1,2,4,1,3,2,CHI,2,2,14
92,3,1,2,1,3,1,1,1,1,2,3,3,1,3,2,1,1,-99,1,3,7,3,2,-99,CHI,1,2,16
93,7,5,6,6,1,5,5,5,5,5,5,5,6,6,7,5,3,1,-99,5,-99,5,5,1,CHI,2,1,16
94,6,6,5,5,2,4,5,5,5,5,5,5,4,4,4,4,4,4,4,6,5,4,6,5,CHI,1,2,15
95,7,2,2,6,1,5,6,6,6,6,7,7,3,5,7,2,2,-99,6,6,2,6,5,4,CHI,1,2,14
96,6,1,3,4,6,4,5,5,1,1,5,4,6,7,-99,6,5,4,3,4,3,5,6,2,CHI,1,1,16
97,5,4,4,4,2,5,6,5,5,4,4,5,6,5,7,2,2,-99,7,7,7,7,7,10,CHI,1,2,15
98,5,5,4,6,3,4,4,4,4,4,4,4,4,6,6,4,2,2,6,5,7,6,7,2,CHI,1,1,15
99,4,1,2,3,6,3,2,2,2,2,2,2,6,5,5,1,1,1,1,3,2,2,3,0,CHI,1,2,15
100,6,6,5,4,-99,4,6,5,5,5,5,5,6,6,6,5,5,5,4,4,4,3,2,10,CHI,1,2,16
101,4,4,4,4,4,4,4,4,4,4,4,4,-99,4,4,4,4,4,4,4,4,4,4,5,MAP,1,2,14
102,5,6,-99,4,4,4,3,3,3,-99,4,5,6,5,5,4,3,7,5,5,5,5,5,8,MAP,2,2,15
103,3,2,3,7,6,4,5,5,5,4,-99,4,4,4,4,5,3,3,4,5,4,4,5,8,MAP,1,2,15
104,7,6,-99,6,-99,6,7,7,7,7,-99,7,7,7,7,-99,6,6,7,7,7,7,7,4,MAP,2,2,14
105,3,3,5,6,5,4,3,4,4,4,3,3,6,6,7,7,5,5,2,5,3,6,5,4,MAP,1,2,17
106,4,4,4,3,5,4,2,2,2,2,2,2,6,5,7,5,3,2,2,2,2,2,3,10,MAP,1,2,15
107,7,5,6,6,3,4,1,4,4,4,4,-99,7,7,7,5,5,5,4,6,6,6,-99,10,MAP,2,2,15
108,4,1,1,1,7,1,7,6,5,4,1,1,7,7,7,5,7,7,4,5,4,7,1,7,MAP,1,2,14
109,6,-99,6,7,6,7,7,-99,5,7,6,6,7,7,7,7,5,7,6,6,6,6,5,10,MAP,2,2,14
110,7,5,6,6,1,7,2,2,2,3,2,2,2,6,7,7,7,7,3,2,6,4,3,10,MAP,2,2,14
111,6,6,5,5,6,6,6,5,7,5,6,5,6,-99,6,4,-99,5,5,6,5,5,6,2,MAP,1,1,17
112,7,5,5,-99,4,5,4,-99,4,4,5,3,5,6,5,7,7,7,4,5,5,6,7,10,MAP,1,2,15
113,3,4,2,3,6,2,4,3,4,4,3,3,6,5,6,6,4,6,5,6,7,7,6,5,MAP,2,2,15
114,6,6,4,3,2,3,1,-99,3,4,4,4,7,4,6,-99,7,1,5,4,6,7,7,10,MAP,2,2,14
115,6,-99,3,5,6,5,6,7,7,7,7,6,6,7,6,7,4,6,7,7,7,7,5,-99,MAP,2,2,14
116,6,5,6,5,6,4,4,-99,4,4,-99,-99,4,6,4,7,4,6,4,4,5,5,7,10,MAP,1,2,15
117,7,6,7,6,5,6,6,5,4,4,5,4,7,7,7,7,6,7,7,7,7,-99,7,10,MAP,2,2,14
118,7,5,5,1,7,1,7,7,7,7,6,6,-99,6,7,6,6,6,5,6,7,7,-99,10,MAP,2,2,14
119,7,5,6,5,2,4,7,-99,6,6,6,6,5,-99,7,3,5,5,7,7,6,-99,-99,-99,MAP,1,2,15
120,7,-99,6,4,1,3,5,6,4,6,6,5,6,-99,7,6,5,5,4,4,5,4,4,7,MAP,2,2,15
121,-99,2,2,1,7,1,7,1,1,1,1,1,7,7,7,1,1,1,6,7,7,7,7,2,MAP,1,2,15
122,4,5,-99,5,-99,5,6,6,5,6,6,5,4,3,4,2,2,2,4,5,4,5,5,6,MAP,2,2,16
123,5,4,2,2,1,1,4,4,4,4,4,4,4,4,7,2,2,2,4,4,4,4,4,10,MAP,2,2,15
124,4,3,4,4,5,3,6,6,6,7,7,7,2,-99,3,6,5,6,5,4,7,5,6,4,MAP,1,2,15
125,6,-99,5,3,5,2,6,2,5,4,3,4,5,3,7,4,1,2,5,4,5,4,6,10,MAP,2,2,14
126,1,1,1,1,1,1,7,4,6,7,7,7,1,4,1,7,7,7,4,7,6,7,-99,3,MAP,2,2,16
127,7,4,6,4,6,7,7,7,7,7,5,5,7,-99,7,1,1,1,1,4,1,1,6,2,MAP,2,2,15
128,5,6,-99,-99,4,5,4,5,6,6,6,7,7,7,7,-99,7,7,5,4,7,7,7,8,MAP,2,2,15
129,6,4,5,5,6,4,6,5,2,4,5,4,6,6,6,6,4,-99,6,6,6,6,6,10,MAP,1,1,15
130,4,5,3,2,4,3,1,1,1,3,1,1,3,5,7,4,4,5,3,2,1,1,5,10,MAP,2,1,15
131,7,6,6,7,1,6,7,-99,7,7,7,7,7,7,7,7,7,7,6,5,6,5,6,10,MAP,2,2,14
132,6,4,5,4,2,5,4,4,4,4,4,4,5,5,5,2,2,2,-99,4,6,4,6,10,MAP,1,2,14
133,4,4,4,3,6,3,3,2,4,4,3,4,2,1,2,3,3,3,4,4,4,5,5,10,MAP,1,2,14
